vel_IC,phi_IC,trial_num,vx,vz,mu_0,sigma_0,RREV_threshold,RREV_sig,My_d,My_d_sig,landing_rate_4_leg,landing_rate_2_leg,RREV_flip_mean,RREV_flip_std,OF_y_flip_mean,OF_y_flip_std,flip_height_mean,flip_height_std,flip_vz_mean,flip_vz_std,impact_force_x_mean,impact_force_x_std,impact_force_z_mean,impact_force_z_std,impact_vx_mean,impact_vx_std,impact_vz_mean,impact_vz_std,impact_eul_mean,impact_eul_std,t_delta_mean,t_delta_std
1.0,22.4,3,0.92,0.38,[2.78 6.1 ],[2. 2.],6.81,0.0,5.67,2.03,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1.0,22.4,4,0.92,0.38,[2.97 7.58],[2. 2.],6.21,0.0,7.57,0.09,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1.0,22.4,5,0.92,0.38,[4.01 5.89],[2. 2.],6.45,0.0,4.14,0.09,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1.0,22.4,6,0.92,0.38,[5.23 6.69],[2. 2.],6.75,0.01,3.85,0.49,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1.0,22.4,7,0.92,0.38,[5.31 4.37],[2. 2.],6.46,0.0,5.43,0.01,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1.0,29.9,3,0.87,0.5,[3.67 4.11],[2. 2.],6.74,0.0,6.59,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1.0,29.9,4,0.87,0.5,[5.37 6.93],[2. 2.],6.8,0.0,6.58,0.01,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1.0,29.9,5,0.87,0.5,[2.84 7.21],[2. 2.],6.45,0.0,6.31,0.01,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1.0,29.9,6,0.87,0.5,[5.02 4.98],[2. 2.],6.54,0.0,6.83,0.3,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1.0,29.9,7,0.87,0.5,[6.49 6.32],[2. 2.],6.75,0.01,4.9,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1.0,37.7,3,0.79,0.61,[4.27 7.73],[2. 2.],6.95,0.0,0.94,0.03,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1.0,37.7,4,0.79,0.61,[4.95 5.1 ],[2. 2.],6.59,0.0,8.94,0.02,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1.0,37.7,5,0.79,0.61,[3.53 3.07],[2. 2.],6.9,0.01,3.09,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1.0,37.7,6,0.79,0.61,[6.31 4.19],[2. 2.],6.96,0.01,5.5,1.08,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1.0,37.7,7,0.79,0.61,[5.74 3.96],[2. 2.],6.96,0.01,1.6,0.08,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1.0,45.0,0,0.71,0.71,[5.54 7.72],[2. 2.],6.98,0.0,7.66,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1.0,45.0,1,0.71,0.71,[6.23 5.66],[2. 2.],6.73,0.0,7.9,0.01,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1.0,45.0,2,0.71,0.71,[5.46 4.85],[2. 2.],6.86,0.0,6.99,1.84,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1.0,45.0,3,0.71,0.71,[3.58 4.29],[2. 2.],6.94,0.0,2.88,0.61,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1.0,45.0,4,0.71,0.71,[6.21 3.57],[2. 2.],7.0,0.0,3.93,0.56,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1.0,45.0,5,0.71,0.71,[6.21 3.38],[2. 2.],6.99,0.0,1.91,0.01,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1.0,45.0,6,0.71,0.71,[4.93 3.04],[2. 2.],6.91,0.0,2.58,0.09,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1.0,45.0,7,0.71,0.71,[3.06 4.19],[2. 2.],6.97,0.0,4.92,0.11,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1.0,52.3,3,0.61,0.79,[4.76 3.26],[2. 2.],6.84,0.0,4.06,0.03,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1.0,52.3,4,0.61,0.79,[3.67 7.15],[2. 2.],4.67,0.0,6.92,0.02,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1.0,52.3,5,0.61,0.79,[3.55 6.71],[2. 2.],6.96,0.01,9.54,0.09,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1.0,52.3,6,0.61,0.79,[2.95 7.84],[2. 2.],6.96,0.0,7.73,0.01,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1.0,52.3,7,0.61,0.79,[2.5  7.37],[2. 2.],6.96,0.04,7.41,0.18,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1.0,60.1,0,0.5,0.87,[2.63 4.7 ],[2. 2.],6.97,0.01,3.7,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1.0,60.1,1,0.5,0.87,[4.33 4.94],[2. 2.],6.86,0.04,6.16,0.01,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1.0,60.1,2,0.5,0.87,[5.06 4.73],[2. 2.],6.95,0.0,5.88,0.04,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1.0,60.1,3,0.5,0.87,[3.97 4.71],[2. 2.],4.53,0.0,8.01,0.02,0.0,0.5,,,,,,,,,,,,,,,,,,,,
1.0,60.1,4,0.5,0.87,[4.68 3.88],[2. 2.],6.92,0.01,2.86,0.03,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1.0,60.1,5,0.5,0.87,[2.84 7.58],[2. 2.],4.36,0.0,8.13,0.05,0.0,0.4375,,,,,,,,,,,,,,,,,,,,
1.0,60.1,6,0.5,0.87,[3.94 6.55],[2. 2.],6.94,0.01,5.79,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1.0,60.1,7,0.5,0.87,[2.75 4.2 ],[2. 2.],6.95,0.0,3.46,0.04,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1.0,67.6,3,0.38,0.92,[5.58 6.15],[2. 2.],6.89,0.0,5.47,0.47,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1.0,67.6,4,0.38,0.92,[4.52 4.24],[2. 2.],4.47,0.02,9.23,0.3,0.0,0.5417,,,,,,,,,,,,,,,,,,,,
1.0,67.6,5,0.38,0.92,[5.67 4.82],[2. 2.],6.93,0.01,3.05,0.02,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1.0,67.6,6,0.38,0.92,[5.47 7.68],[2. 2.],4.45,0.0,8.73,0.07,0.0,0.6458,,,,,,,,,,,,,,,,,,,,
1.0,67.6,7,0.38,0.92,[3.7  7.37],[2. 2.],6.91,0.0,9.26,0.05,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1.0,75.0,0,0.26,0.97,[5.12 6.55],[2. 2.],6.91,0.0,6.7,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1.0,75.0,1,0.26,0.97,[3.21 5.64],[2. 2.],6.85,0.0,3.89,0.03,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1.0,75.0,2,0.26,0.97,[6.23 4.49],[2. 2.],6.89,0.0,2.58,0.05,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1.0,75.0,3,0.26,0.97,[3.81 6.53],[2. 2.],6.91,0.0,5.96,0.01,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1.0,75.0,4,0.26,0.97,[4.31 4.92],[2. 2.],6.98,0.01,4.52,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1.0,75.0,5,0.26,0.97,[5.74 6.39],[2. 2.],4.59,0.01,8.3,0.01,0.0,0.9375,,,,,,,,,,,,,,,,,,,,
1.0,75.0,6,0.26,0.97,[4.8  5.78],[2. 2.],4.74,0.01,7.29,0.12,0.0,0.5,,,,,,,,,,,,,,,,,,,,
1.0,75.0,7,0.26,0.97,[6.01 3.87],[2. 2.],4.46,0.03,8.45,0.0,0.0,0.5625,,,,,,,,,,,,,,,,,,,,
1.0,82.5,3,0.13,0.99,[5.53 7.64],[2. 2.],4.63,0.0,7.72,0.14,0.0,0.5625,,,,,,,,,,,,,,,,,,,,
1.0,82.5,4,0.13,0.99,[3.31 6.36],[2. 2.],6.95,0.0,5.02,0.55,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1.0,82.5,5,0.13,0.99,[2.73 7.86],[2. 2.],4.47,0.0,9.0,0.01,0.0,0.5833,,,,,,,,,,,,,,,,,,,,
1.0,82.5,6,0.13,0.99,[4.61 3.43],[2. 2.],4.69,0.02,7.66,0.0,0.0,0.7083,,,,,,,,,,,,,,,,,,,,
1.0,82.5,7,0.13,0.99,[3.2 5.3],[2. 2.],6.88,0.0,5.06,0.01,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1.0,90.0,1,0.0,1.0,[2.75 6.7 ],[2. 2.],6.96,0.0,6.13,0.72,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1.0,90.0,2,0.0,1.0,[2.67 7.03],[2. 2.],6.85,0.0,8.27,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1.0,90.0,3,0.0,1.0,[4.53 7.78],[2. 2.],6.99,0.0,6.62,0.05,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1.0,90.0,4,0.0,1.0,[4.2 7. ],[2. 2.],6.91,0.0,3.91,0.04,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1.0,90.0,5,0.0,1.0,[5.43 7.42],[2. 2.],4.51,0.04,8.8,0.06,0.0,0.7917,,,,,,,,,,,,,,,,,,,,
1.0,90.0,6,0.0,1.0,[5.78 4.46],[2. 2.],6.79,0.01,4.0,0.04,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1.0,90.0,7,0.0,1.0,[5.04 5.28],[2. 2.],6.94,0.0,2.54,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1.2,45.0,0,0.85,0.85,[5.67 5.65],[2. 2.],4.24,0.0,9.89,0.0,0.2708,0.625,4.3099,0.0451,-4.2468,0.0408,1.9016,0.0022,0.844,0.0,1.0535,0.2024,0.8891,1.6948,0.4086,0.0747,0.3364,0.0762,86.1393,12.2045,0.156,0.0083
1.2,45.0,2,0.85,0.85,[5.89 3.66],[2. 2.],6.98,0.0,3.37,0.01,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1.2,60.0,0,0.6,1.04,[6.17 7.22],[2. 2.],4.78,0.0,8.0,0.05,0.0,0.6875,,,,,,,,,,,,,,,,,,,,
1.2,60.0,1,0.6,1.04,[4.94 6.91],[2. 2.],4.72,0.0,7.93,0.03,0.0,0.875,,,,,,,,,,,,,,,,,,,,
1.2,60.0,2,0.6,1.04,[2.8  4.49],[2. 2.],5.31,0.03,4.97,0.08,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1.2,75.0,0,0.31,1.16,[3.68 4.6 ],[2. 2.],4.82,0.0,7.53,0.09,0.0,0.7917,,,,,,,,,,,,,,,,,,,,
1.2,75.0,1,0.31,1.16,[3.66 5.37],[2. 2.],5.1,0.0,6.1,0.0,0.0,0.2083,,,,,,,,,,,,,,,,,,,,
1.2,75.0,2,0.31,1.16,[3.19 5.82],[2. 2.],4.64,0.0,8.03,0.07,0.0,0.7292,,,,,,,,,,,,,,,,,,,,
1.2,90.0,0,0.0,1.2,[3.23 3.8 ],[2. 2.],6.97,0.0,8.9,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1.2,90.0,1,0.0,1.2,[4.66 6.66],[2. 2.],4.95,0.0,7.27,0.0,0.0,0.9375,,,,,,,,,,,,,,,,,,,,
1.2,90.0,2,0.0,1.2,[5.07 4.49],[2. 2.],6.95,0.05,3.57,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1.5,22.3,3,1.39,0.57,[4.59 5.01],[2. 2.],6.8,0.0,5.27,0.02,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1.5,22.3,4,1.39,0.57,[5.07 4.25],[2. 2.],6.7,0.0,3.29,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1.5,22.3,5,1.39,0.57,[5.52 3.71],[2. 2.],6.96,0.01,4.86,0.22,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1.5,22.3,6,1.39,0.57,[4.39 7.37],[2. 2.],6.94,0.0,3.24,0.15,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1.5,22.3,7,1.39,0.57,[5.73 4.75],[2. 2.],6.89,0.0,4.17,0.01,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1.5,30.0,3,1.3,0.75,[3.74 4.01],[2. 2.],6.97,0.0,6.36,0.05,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1.5,30.0,4,1.3,0.75,[3.01 7.17],[2. 2.],6.97,0.0,7.37,0.04,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1.5,30.0,5,1.3,0.75,[4.91 4.07],[2. 2.],6.98,0.0,5.57,0.17,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1.5,30.0,6,1.3,0.75,[5.64 6.97],[2. 2.],6.97,0.0,6.83,0.51,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1.5,30.0,7,1.3,0.75,[2.76 6.37],[2. 2.],6.95,0.01,6.35,0.05,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1.5,37.4,3,1.19,0.91,[3.04 7.21],[2. 2.],6.83,0.0,6.88,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1.5,37.4,4,1.19,0.91,[5.18 4.76],[2. 2.],6.96,0.0,2.83,0.07,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1.5,37.4,5,1.19,0.91,[2.79 4.86],[2. 2.],6.97,0.0,4.77,0.52,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1.5,37.4,6,1.19,0.91,[3.74 7.01],[2. 2.],4.34,0.05,9.4,0.0,0.625,0.0,4.4498,0.041,-5.7473,0.0548,1.8913,0.0044,0.908,0.0,1.2341,0.2116,1.5034,0.5756,0.7405,0.077,0.3636,0.0699,96.1191,30.4993,0.171,0.0286
1.5,37.4,7,1.19,0.91,[6.47 6.96],[2. 2.],6.89,0.03,2.69,0.11,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1.5,45.0,0,1.06,1.06,[6.19 7.29],[2. 2.],4.76,0.01,7.4,0.08,0.7083,0.0208,4.9045,0.0712,-4.8556,0.0722,1.8825,0.0031,1.056,0.0,0.8298,0.1237,1.0583,1.1938,0.6641,0.1138,0.3033,0.0813,90.7203,28.5117,0.1798,0.0332
1.5,45.0,1,1.06,1.06,[6.36 4.11],[2. 2.],4.58,0.01,7.98,0.0,0.5,0.0,4.761,0.0237,-4.7131,0.0224,1.876,0.0011,1.056,0.0,0.9862,0.0968,0.7097,0.2038,0.6246,0.0682,0.3287,0.0456,95.9785,22.7582,0.1805,0.0269
1.5,45.0,2,1.06,1.06,[5.7  5.84],[2. 2.],4.94,0.0,6.87,0.0,0.5625,0.0,4.9967,0.0369,-4.9465,0.0367,1.8865,0.0016,1.056,0.0,0.7554,0.0516,0.4724,0.1637,0.6606,0.1506,0.2089,0.0971,91.4164,25.0513,0.0752,0.5483
1.5,45.0,3,1.06,1.06,[4.44 4.46],[2. 2.],4.49,0.01,8.78,0.01,0.4792,0.0,4.6395,0.0334,-4.5903,0.0329,1.866,0.0016,1.056,0.0,1.0549,0.0681,0.9655,0.2317,0.5969,0.0166,0.415,0.0361,92.8075,3.4639,0.1681,0.0036
1.5,45.0,4,1.06,1.06,[2.87 3.14],[2. 2.],6.88,0.01,2.16,0.03,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1.5,45.0,5,1.06,1.06,[6.17 3.79],[2. 2.],5.3,0.01,5.04,0.03,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1.5,45.0,6,1.06,1.06,[5.78 4.  ],[2. 2.],6.99,0.0,2.7,0.05,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1.5,45.0,7,1.06,1.06,[4.86 7.11],[2. 2.],6.73,0.0,7.26,0.01,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1.5,52.6,3,0.91,1.19,[5.63 6.96],[2. 2.],5.69,0.0,7.81,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1.5,52.6,4,0.91,1.19,[2.7  5.01],[2. 2.],5.05,0.02,6.86,0.09,0.4167,0.2292,5.1074,0.0359,-3.8673,0.0285,1.8602,0.0026,1.185,0.0,0.6771,0.1891,1.9122,2.4932,0.5895,0.044,0.4025,0.0894,77.0977,9.625,0.1723,0.0099
1.5,52.6,5,0.91,1.19,[4.2  4.87],[2. 2.],4.67,0.01,9.55,0.0,0.7083,0.2917,4.7447,0.0432,-3.5925,0.0323,1.8498,0.0033,1.185,0.0,1.2088,0.0829,0.8258,0.3657,0.4551,0.0308,0.6097,0.0522,91.7748,5.5392,0.1637,0.0041
1.5,52.6,6,0.91,1.19,[6.32 4.96],[2. 2.],6.96,0.0,2.06,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1.5,52.6,7,0.91,1.19,[2.59 3.71],[2. 2.],5.42,0.0,4.82,0.03,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1.5,60.0,0,0.75,1.3,[3.85 4.26],[2. 2.],4.96,0.01,9.75,0.02,0.125,0.8542,5.1677,0.0272,-2.9327,0.0235,1.8468,0.0013,1.294,0.0,0.3987,0.0508,20.8765,4.0272,0.4503,0.0352,0.9423,0.0329,61.3796,5.6914,0.1368,0.0036
1.5,60.0,1,0.75,1.3,[3.41 4.63],[2. 2.],4.98,0.02,9.25,0.17,0.1042,0.75,5.1978,0.0363,-2.9538,0.0255,1.8482,0.002,1.294,0.0,0.3526,0.0207,20.2132,5.1516,0.4738,0.0143,0.8982,0.0385,59.4588,2.8148,0.1382,0.0039
1.5,60.0,2,0.75,1.3,[2.8  3.09],[2. 2.],4.96,0.01,8.64,0.01,0.1458,0.7917,5.1879,0.0226,-2.9451,0.0114,1.8479,0.0012,1.294,0.0,0.3563,0.0489,16.8994,3.1633,0.4564,0.0233,0.8247,0.0435,63.7173,5.011,0.1449,0.0028
1.5,60.0,3,0.75,1.3,[6.05 7.2 ],[2. 2.],4.83,0.01,7.41,0.0,0.0,0.75,,,,,,,,,,,,,,,,,,,,
1.5,60.0,4,0.75,1.3,[6.31 7.37],[2. 2.],4.8,0.01,7.25,0.0,0.0,0.625,,,,,,,,,,,,,,,,,,,,
1.5,60.0,5,0.75,1.3,[5.73 3.46],[2. 2.],6.72,0.0,4.48,0.02,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1.5,60.0,6,0.75,1.3,[4.97 4.94],[2. 2.],5.08,0.0,7.33,0.01,0.0833,0.6042,5.233,0.0209,-2.977,0.0112,1.8522,0.0011,1.294,0.0,0.291,0.0084,13.5082,1.4313,0.4962,0.0159,0.6875,0.0091,61.5295,1.4712,0.1532,0.002
1.5,60.0,7,0.75,1.3,[6.11 4.35],[2. 2.],6.49,0.0,5.93,0.04,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1.5,67.7,3,0.57,1.39,[5.98 4.84],[2. 2.],6.95,0.0,2.81,0.15,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1.5,67.7,4,0.57,1.39,[3.4  5.74],[2. 2.],6.92,0.0,2.08,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1.5,67.7,5,0.57,1.39,[4.18 7.11],[2. 2.],4.8,0.0,9.12,0.05,0.0,1.0,,,,,,,,,,,,,,,,,,,,
1.5,67.7,6,0.57,1.39,[4.37 7.88],[2. 2.],4.82,0.0,7.07,0.07,0.0,0.5625,,,,,,,,,,,,,,,,,,,,
1.5,67.7,7,0.57,1.39,[4.58 4.47],[2. 2.],6.59,0.02,4.17,0.19,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1.5,74.9,0,0.39,1.45,[5.51 3.04],[2. 2.],5.21,0.01,5.87,0.45,0.0,0.4792,,,,,,,,,,,,,,,,,,,,
1.5,74.9,1,0.39,1.45,[3.44 3.76],[2. 2.],4.91,0.01,8.02,0.02,0.0,0.9792,,,,,,,,,,,,,,,,,,,,
1.5,74.9,2,0.39,1.45,[4.18 3.75],[2. 2.],4.91,0.0,6.8,0.04,0.0,0.7292,,,,,,,,,,,,,,,,,,,,
1.5,74.9,3,0.39,1.45,[3.55 4.77],[2. 2.],6.94,0.0,2.55,1.3,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1.5,74.9,4,0.39,1.45,[5.2  6.64],[2. 2.],4.86,0.01,8.06,0.02,0.0,1.0,,,,,,,,,,,,,,,,,,,,
1.5,74.9,5,0.39,1.45,[3.74 4.2 ],[2. 2.],6.88,0.01,1.64,0.02,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1.5,74.9,6,0.39,1.45,[3.7  6.03],[2. 2.],4.92,0.0,6.71,0.01,0.0,0.75,,,,,,,,,,,,,,,,,,,,
1.5,74.9,7,0.39,1.45,[3.61 7.05],[2. 2.],5.0,0.0,5.97,0.04,0.0,0.6667,,,,,,,,,,,,,,,,,,,,
1.5,82.4,3,0.2,1.49,[5.59 7.53],[2. 2.],4.72,0.0,9.18,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,
1.5,82.4,4,0.2,1.49,[2.64 3.3 ],[2. 2.],5.3,0.02,4.79,0.0,0.0,0.2292,,,,,,,,,,,,,,,,,,,,
1.5,82.4,5,0.2,1.49,[3.53 5.25],[2. 2.],4.69,0.06,9.74,0.01,0.0,1.0,,,,,,,,,,,,,,,,,,,,
1.5,82.4,6,0.2,1.49,[3.85 6.04],[2. 2.],6.84,0.02,5.43,0.07,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1.5,82.4,7,0.2,1.49,[4.95 3.68],[2. 2.],5.7,0.0,3.31,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1.5,90.0,0,0.0,1.5,[4.73 3.36],[2. 2.],6.94,0.0,2.57,0.04,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1.5,90.0,1,0.0,1.5,[2.81 3.87],[2. 2.],4.88,0.14,7.76,0.23,0.0,0.7708,,,,,,,,,,,,,,,,,,,,
1.5,90.0,2,0.0,1.5,[5.36 5.2 ],[2. 2.],4.97,0.01,7.71,0.39,0.0,1.0,,,,,,,,,,,,,,,,,,,,
1.5,90.0,3,0.0,1.5,[4.85 7.61],[2. 2.],4.89,0.0,8.91,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,
1.5,90.0,4,0.0,1.5,[6.24 4.43],[2. 2.],5.13,0.02,5.67,0.07,0.0,0.7917,,,,,,,,,,,,,,,,,,,,
1.5,90.0,5,0.0,1.5,[6.28 3.76],[2. 2.],6.94,0.01,2.5,0.09,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1.5,90.0,6,0.0,1.5,[2.59 5.37],[2. 2.],4.68,0.0,8.54,0.01,0.0,0.75,,,,,,,,,,,,,,,,,,,,
1.5,90.0,7,0.0,1.5,[4.08 6.75],[2. 2.],4.67,0.0,9.19,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,
1.8,45.0,0,1.27,1.27,[4.45 3.82],[2. 2.],4.74,0.0,9.66,0.01,1.0,0.0,4.8598,0.0779,-4.8195,0.077,1.8365,0.0042,1.268,0.0,1.3476,0.2421,2.454,0.7023,0.8383,0.0388,0.7344,0.0638,87.3982,8.7273,0.1594,0.0056
1.8,45.0,1,1.27,1.27,[4.25 6.62],[2. 2.],4.84,0.0,7.14,0.0,0.7917,0.0,4.9928,0.0507,-4.9514,0.052,1.8435,0.0027,1.268,0.0,1.2784,0.2177,1.6505,0.3648,0.8633,0.05,0.4017,0.0585,98.2706,22.1134,0.1882,0.0228
1.8,45.0,2,1.27,1.27,[5.78 4.27],[2. 2.],5.06,0.0,5.55,0.01,0.3958,0.0,5.2767,0.034,-5.2314,0.0365,1.8572,0.0015,1.268,0.0,1.5082,0.1561,1.6527,0.2786,0.8966,0.0937,0.2117,0.0581,95.9498,26.2637,0.2066,0.0298
1.8,60.0,0,0.9,1.56,[5.2  3.72],[2. 2.],5.01,0.0,6.48,0.16,0.4375,0.3542,5.0893,0.0606,-2.8998,0.036,1.7915,0.0036,1.554,0.0,0.8674,0.0737,0.5832,0.2953,0.4946,0.0678,0.5014,0.091,102.2707,17.8904,0.2012,0.0246
1.8,60.0,1,0.9,1.56,[5.61 7.01],[2. 2.],4.71,0.0,9.92,0.0,0.3333,0.6667,4.8788,0.0334,-2.7801,0.0194,1.7782,0.0021,1.554,0.0,1.5388,0.3859,2.2681,1.2469,0.3995,0.0306,0.9041,0.0685,108.4489,9.2592,0.1719,0.0053
1.8,60.0,2,0.9,1.56,[6.42 4.18],[2. 2.],5.31,0.0,4.48,0.0,0.2708,0.0417,5.4483,0.0639,-3.1052,0.0352,1.8115,0.0034,1.554,0.0,0.4946,0.044,0.3969,0.106,0.6057,0.0283,0.2586,0.0701,84.1659,6.8021,0.2147,0.007
1.8,74.9,0,0.47,1.74,[6.26 5.21],[2. 2.],4.83,0.0,7.56,0.08,0.0,1.0,,,,,,,,,,,,,,,,,,,,
1.8,74.9,1,0.47,1.74,[5.1  6.36],[2. 2.],4.82,0.01,9.64,0.01,0.2292,0.7708,4.9289,0.0382,-1.2852,0.0104,1.7448,0.0028,1.734,0.0,1.3924,0.2916,2.2507,0.8957,-0.0219,0.02,1.0009,0.0389,116.1713,4.4612,0.1804,0.0033
1.8,74.9,2,0.47,1.74,[3.47 7.88],[2. 2.],4.78,0.0,7.65,0.0,0.0417,0.9583,4.947,0.011,-1.2895,0.0015,1.746,0.001,1.734,0.0,1.244,0.047,0.4255,0.0345,0.0205,0.0135,0.7035,0.0115,123.0817,0.9746,0.1995,0.0025
1.8,90.0,0,0.0,1.8,[3.1 4.8],[2. 2.],6.98,0.01,1.28,0.37,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1.8,90.0,1,0.0,1.8,[5.41 5.23],[2. 2.],4.75,0.02,8.38,0.01,0.0208,0.9792,4.926,0.0,0.036,0.0,1.732,0.0,1.795,0.0,0.618,0.0,0.47,0.0,-0.427,0.0,0.787,0.0,130.3539,0.0,0.201,0.0
1.8,90.0,2,0.0,1.8,[4.61 3.94],[2. 2.],4.7,0.03,9.54,0.11,0.125,0.875,4.893,0.0157,0.036,0.0,1.7295,0.0011,1.795,0.0,1.77,0.256,1.1528,0.2662,-0.5262,0.0348,0.8603,0.0458,148.5558,10.0634,0.2015,0.0044
2.0,22.6,3,1.85,0.77,[4.24 5.52],[2. 2.],6.17,0.03,7.16,0.15,0.0,0.0,,,,,,,,,,,,,,,,,,,,
2.0,22.6,4,1.85,0.77,[3.66 5.18],[2. 2.],6.94,0.0,3.37,0.26,0.0,0.0,,,,,,,,,,,,,,,,,,,,
2.0,22.6,5,1.85,0.77,[5.81 3.88],[2. 2.],6.87,0.0,5.47,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
2.0,22.6,6,1.85,0.77,[6.44 7.47],[2. 2.],6.95,0.0,4.38,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
2.0,22.6,7,1.85,0.77,[4.67 4.13],[2. 2.],6.93,0.01,3.47,0.04,0.0,0.0,,,,,,,,,,,,,,,,,,,,
