V_mag,V_angle,Plane_Angle,Trial_num,--,Pad_Connections,BodyContact,ForelegContact,HindlegContact,--,a_Trg_trg,a_Rot_trg,Vel_mag_B_O_trg,Vel_angle_B_O_trg,Vel_mag_B_P_trg,Vel_angle_B_P_trg,Tau_CR_trg,Tau_trg,Theta_x_trg,D_perp_CR_trg,D_perp_trg,--,Phi_B_O_impact,Phi_B_P_impact,Omega_B_O_impact,Vel_B_P_impact_x,Vel_B_P_impact_z,Impact_Magnitude,Force_Impact_x,Force_Impact_y,Force_Impact_z,--,reward,reward_vals,NN_Output_trg,a_Rot_scale,--,4_Leg_NBC,4_Leg_BC,2_Leg_NBC,2_Leg_BC,0_Leg_NBC,0_Leg_BC
1.6,15,0,0,--,0,False,False,False,--,0.522,-99.859,1.6,15.0,1.6,15.0,0.2,0.703,5.309,0.083,0.291,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.025,[0.992 0.777 0.    0.    0.    0.    0.   ],[ 0.517 -0.997  0.006  0.26 ],[-100    0],--,0,0,0,0,1,0
1.6,15,0,1,--,4,False,True,False,--,0.536,-99.781,1.6,15.0,1.6,15.0,0.194,0.696,5.359,0.08,0.288,--,-142.303,142.303,-20.064,0.513,-0.379,nan,nan,nan,nan,--,0.93,[1.    0.803 1.    0.953 0.6   0.981 1.   ],[ 0.538 -0.998  0.005  0.26 ],[-100    0],--,1,0,0,0,0,0
1.6,15,0,2,--,0,False,False,False,--,0.531,-99.848,1.6,15.0,1.6,15.0,0.199,0.701,5.321,0.082,0.29,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.025,[0.997 0.783 0.    0.    0.    0.    0.   ],[ 0.532 -0.997  0.005  0.259],[-100    0],--,0,0,0,0,1,0
1.6,15,0,3,--,0,False,False,False,--,0.522,-99.92,1.6,15.0,1.6,15.0,0.2,0.702,5.315,0.083,0.291,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.025,[0.997 0.78  0.    0.    0.    0.    0.   ],[ 0.528 -0.997  0.005  0.259],[-100    0],--,0,0,0,0,1,0
1.6,15,0,4,--,4,False,True,False,--,0.539,-99.892,1.6,15.0,1.6,15.0,0.197,0.7,5.332,0.082,0.29,--,-144.793,144.793,-20.132,0.507,-0.401,nan,nan,nan,nan,--,0.928,[0.999 0.789 1.    0.936 0.579 0.992 1.   ],[ 0.534 -0.998  0.005  0.259],[-100    0],--,1,0,0,0,0,0
1.6,25,0,0,--,4,False,True,False,--,0.54,-99.895,1.6,25.0,1.6,25.0,0.2,0.508,4.22,0.136,0.344,--,-133.337,133.337,-19.885,0.43,-0.024,nan,nan,nan,nan,--,0.909,[0.999 0.777 1.    0.977 0.675 0.858 1.   ],[ 0.542 -0.998  0.005  0.25 ],[-100    0],--,1,0,0,0,0,0
1.6,25,0,1,--,4,False,True,False,--,0.526,-99.948,1.6,25.0,1.6,25.0,0.204,0.511,4.193,0.138,0.346,--,-134.559,134.559,-19.925,0.426,-0.035,nan,nan,nan,nan,--,0.913,[0.999 0.765 1.    0.984 0.665 0.874 1.   ],[ 0.528 -0.997  0.005  0.25 ],[-100    0],--,1,0,0,0,0,0
1.6,25,0,2,--,4,False,True,False,--,0.513,-99.806,1.6,25.0,1.6,25.0,0.205,0.513,4.183,0.139,0.347,--,-135.508,135.508,-19.924,0.425,-0.046,nan,nan,nan,nan,--,0.916,[1.    0.76  1.    0.989 0.658 0.888 1.   ],[ 0.513 -0.995  0.006  0.252],[-100    0],--,1,0,0,0,0,0
1.6,25,0,3,--,4,False,True,False,--,0.545,-99.866,1.6,25.0,1.6,25.0,0.2,0.507,4.227,0.135,0.343,--,-133.298,133.298,-19.879,0.43,-0.024,nan,nan,nan,nan,--,0.909,[0.999 0.781 1.    0.977 0.676 0.857 1.   ],[ 0.543 -0.998  0.005  0.25 ],[-100    0],--,1,0,0,0,0,0
1.6,25,0,4,--,4,False,True,False,--,0.5,-99.754,1.6,25.0,1.6,25.0,0.206,0.513,4.177,0.139,0.347,--,-136.556,136.556,-19.938,0.425,-0.059,nan,nan,nan,nan,--,0.92,[0.998 0.757 1.    0.993 0.649 0.902 1.   ],[ 0.503 -0.995  0.007  0.253],[-100    0],--,1,0,0,0,0,0
1.6,35,0,0,--,4,False,True,False,--,0.519,-99.894,1.6,35.0,1.6,35.0,0.209,0.435,3.28,0.191,0.4,--,-133.341,133.341,-19.885,0.291,0.216,nan,nan,nan,nan,--,0.88,[0.999 0.746 1.    0.771 0.675 0.858 1.   ],[ 0.516 -0.995  0.006  0.244],[-100    0],--,1,0,0,0,0,0
1.6,35,0,1,--,4,False,True,False,--,0.545,-99.926,1.6,35.0,1.6,35.0,0.204,0.431,3.312,0.188,0.396,--,-129.985,129.985,-19.801,0.296,0.253,nan,nan,nan,nan,--,0.864,[0.999 0.762 1.    0.716 0.703 0.812 1.   ],[ 0.547 -0.998  0.005  0.242],[-100    0],--,1,0,0,0,0,0
1.6,35,0,2,--,4,False,True,False,--,0.54,-99.898,1.6,35.0,1.6,35.0,0.206,0.433,3.302,0.189,0.397,--,-131.065,131.065,-19.825,0.295,0.241,nan,nan,nan,nan,--,0.869,[0.999 0.757 1.    0.734 0.694 0.826 1.   ],[ 0.545 -0.998  0.005  0.241],[-100    0],--,1,0,0,0,0,0
1.6,35,0,3,--,4,False,True,False,--,0.549,-99.77,1.6,35.0,1.6,35.0,0.204,0.43,3.319,0.187,0.395,--,-129.743,129.743,-19.767,0.3,0.251,nan,nan,nan,nan,--,0.863,[1.    0.765 1.    0.719 0.704 0.808 1.   ],[ 0.548 -0.998  0.005  0.242],[-100    0],--,1,0,0,0,0,0
1.6,35,0,4,--,4,False,True,False,--,0.543,-99.86,1.6,35.0,1.6,35.0,0.206,0.433,3.301,0.189,0.397,--,-130.995,130.995,-19.816,0.297,0.239,nan,nan,nan,nan,--,0.869,[0.998 0.756 1.    0.737 0.694 0.825 1.   ],[ 0.545 -0.998  0.005  0.241],[-100    0],--,1,0,0,0,0,0
1.6,45,0,0,--,4,False,True,False,--,0.54,-99.886,1.6,45.0,1.6,45.0,0.21,0.394,2.541,0.237,0.445,--,-129.896,129.896,-19.79,0.119,0.466,nan,nan,nan,nan,--,0.829,[0.999 0.742 1.    0.473 0.703 0.81  1.   ],[ 0.544 -0.997  0.005  0.236],[-100    0],--,1,0,0,0,0,0
1.6,45,0,1,--,4,False,True,False,--,0.534,-99.743,1.6,45.0,1.6,45.0,0.21,0.394,2.536,0.238,0.446,--,-130.828,130.828,-19.792,0.121,0.45,nan,nan,nan,nan,--,0.832,[0.999 0.739 1.    0.478 0.696 0.823 1.   ],[ 0.537 -0.997  0.005  0.237],[-100    0],--,1,0,0,0,0,0
1.6,45,0,2,--,4,False,True,False,--,0.534,-99.898,1.6,45.0,1.6,45.0,0.211,0.395,2.534,0.238,0.447,--,-131.036,131.036,-19.823,0.118,0.452,nan,nan,nan,nan,--,0.833,[0.999 0.738 1.    0.477 0.694 0.826 1.   ],[ 0.533 -0.997  0.006  0.237],[-100    0],--,1,0,0,0,0,0
1.6,45,0,3,--,4,False,True,False,--,0.518,-99.444,1.6,45.0,1.6,45.0,0.212,0.395,2.529,0.239,0.447,--,-131.521,131.521,-19.758,0.121,0.441,nan,nan,nan,nan,--,0.835,[0.998 0.735 1.    0.481 0.69  0.833 1.   ],[ 0.524 -0.996  0.006  0.238],[-100    0],--,1,0,0,0,0,0
1.6,45,0,4,--,4,False,True,False,--,0.532,-99.678,1.6,45.0,1.6,45.0,0.21,0.394,2.536,0.238,0.446,--,-130.749,130.749,-19.779,0.118,0.456,nan,nan,nan,nan,--,0.832,[0.999 0.739 1.    0.476 0.696 0.822 1.   ],[ 0.536 -0.997  0.005  0.237],[-100    0],--,1,0,0,0,0,0
1.6,55,0,0,--,4,False,True,False,--,0.54,-99.817,1.6,55.0,1.6,55.0,0.208,0.366,1.911,0.272,0.48,--,-127.555,127.555,-19.712,-0.089,0.669,nan,nan,nan,nan,--,0.635,[1.    0.75  1.    0.406 0.722 0.135 1.   ],[ 0.543 -0.995  0.006  0.22 ],[-100    0],--,1,0,0,0,0,0
1.6,55,0,1,--,4,False,True,False,--,0.572,-99.879,1.6,55.0,1.6,55.0,0.203,0.362,1.934,0.267,0.475,--,-124.275,124.275,-19.619,-0.082,0.706,nan,nan,nan,nan,--,0.639,[0.999 0.766 1.    0.399 0.747 0.14  1.   ],[ 0.571 -0.996  0.006  0.201],[-100    0],--,1,0,0,0,0,0
1.6,55,0,2,--,4,False,True,False,--,0.543,-99.768,1.6,55.0,1.6,55.0,0.208,0.367,1.908,0.273,0.481,--,-127.512,127.512,-19.704,-0.09,0.67,nan,nan,nan,nan,--,0.635,[0.999 0.748 1.    0.406 0.722 0.135 1.   ],[ 0.542 -0.995  0.006  0.221],[-100    0],--,1,0,0,0,0,0
1.6,55,0,3,--,4,False,True,False,--,0.541,-99.745,1.6,55.0,1.6,55.0,0.208,0.367,1.909,0.273,0.481,--,-127.457,127.457,-19.697,-0.089,0.671,nan,nan,nan,nan,--,0.635,[0.999 0.748 1.    0.406 0.723 0.135 1.   ],[ 0.542 -0.995  0.006  0.22 ],[-100    0],--,1,0,0,0,0,0
1.6,55,0,4,--,4,False,True,False,--,0.534,-99.762,1.6,55.0,1.6,55.0,0.21,0.369,1.898,0.275,0.483,--,-128.635,128.635,-19.736,-0.095,0.662,nan,nan,nan,nan,--,0.634,[0.999 0.74  1.    0.407 0.713 0.134 1.   ],[ 0.531 -0.994  0.007  0.225],[-100    0],--,1,0,0,0,0,0
1.6,65,0,0,--,4,False,True,False,--,0.521,-96.306,1.6,65.0,1.6,65.0,0.209,0.352,1.324,0.303,0.511,--,-127.302,127.302,-19.305,-0.311,0.754,nan,nan,nan,nan,--,0.63,[1.    0.745 1.    0.364 0.724 0.136 1.   ],[ 0.507 -0.949  0.012  0.142],[-100    0],--,1,0,0,0,0,0
1.6,65,0,1,--,4,False,True,False,--,0.658,-98.537,1.6,65.0,1.6,65.0,0.201,0.345,1.352,0.292,0.5,--,-122.568,122.568,-19.408,-0.314,0.846,nan,nan,nan,nan,--,0.636,[0.999 0.773 1.    0.356 0.76  0.143 1.   ],[ 0.664 -0.974  0.008  0.078],[-100    0],--,1,0,0,0,0,0
1.6,65,0,2,--,4,False,True,False,--,0.511,-96.774,1.6,65.0,1.6,65.0,0.209,0.352,1.323,0.303,0.511,--,-126.882,126.882,-19.373,-0.316,0.766,nan,nan,nan,nan,--,0.63,[1.    0.745 1.    0.363 0.727 0.136 1.   ],[ 0.506 -0.949  0.012  0.143],[-100    0],--,1,0,0,0,0,0
1.6,65,0,3,--,4,False,True,False,--,0.666,-98.594,1.6,65.0,1.6,65.0,0.2,0.343,1.359,0.29,0.498,--,-121.509,121.509,-19.378,-0.31,0.856,nan,nan,nan,nan,--,0.637,[0.999 0.78  1.    0.355 0.768 0.145 1.   ],[ 0.665 -0.972  0.008  0.076],[-100    0],--,1,0,0,0,0,0
1.6,65,0,4,--,4,False,True,False,--,0.658,-98.977,1.6,65.0,1.6,65.0,0.201,0.345,1.353,0.292,0.5,--,-121.978,121.978,-19.399,-0.31,0.858,nan,nan,nan,nan,--,0.637,[1.    0.774 1.    0.356 0.764 0.144 1.   ],[ 0.664 -0.974  0.008  0.078],[-100    0],--,1,0,0,0,0,0
1.6,75,0,0,--,4,False,True,False,--,0.583,-85.784,1.6,75.0,1.6,75.0,0.199,0.333,0.804,0.307,0.515,--,-122.914,122.914,-18.049,-0.501,0.685,nan,nan,nan,nan,--,0.63,[0.999 0.784 1.    0.313 0.757 0.143 1.   ],[ 0.587 -0.741  0.013  0.053],[-100    0],--,1,0,0,0,0,0
1.6,75,0,1,--,4,False,True,False,--,0.607,-89.314,1.6,75.0,1.6,75.0,0.202,0.337,0.796,0.312,0.52,--,-123.964,123.964,-18.479,-0.524,0.744,nan,nan,nan,nan,--,0.629,[0.999 0.771 1.    0.319 0.749 0.141 1.   ],[ 0.587 -0.762  0.013  0.055],[-100    0],--,1,0,0,0,0,0
1.6,75,0,2,--,4,False,True,False,--,0.596,-89.517,1.6,75.0,1.6,75.0,0.198,0.333,0.806,0.306,0.514,--,-121.069,121.069,-18.422,-0.517,0.777,nan,nan,nan,nan,--,0.633,[1.    0.787 1.    0.315 0.771 0.145 1.   ],[ 0.587 -0.737  0.013  0.052],[-100    0],--,1,0,0,0,0,0
1.6,75,0,3,--,4,False,True,False,--,0.582,-89.822,1.6,75.0,1.6,75.0,0.203,0.338,0.793,0.314,0.522,--,-124.613,124.613,-18.526,-0.524,0.745,nan,nan,nan,nan,--,0.628,[0.999 0.766 1.    0.321 0.744 0.14  1.   ],[ 0.577 -0.752  0.013  0.057],[-100    0],--,1,0,0,0,0,0
1.6,75,0,4,--,0,False,True,False,--,0.51,-80.753,1.6,75.0,1.6,75.0,0.205,0.34,0.789,0.317,0.525,--,-129.24,129.24,-17.664,-0.48,0.494,nan,nan,nan,nan,--,0.341,[0.997 0.76  1.    0.309 0.708 0.133 0.   ],[ 0.519 -0.645  0.017  0.067],[-100    0],--,0,0,0,0,1,0
1.6,85,0,0,--,4,False,True,False,--,0.569,-70.618,1.6,85.0,1.6,85.0,0.196,0.326,0.268,0.312,0.52,--,-127.921,127.921,-16.46,-0.69,0.302,nan,nan,nan,nan,--,0.613,[1.    0.795 1.    0.244 0.719 0.135 1.   ],[ 0.569 -0.474  0.012  0.038],[-100    0],--,1,0,0,0,0,0
1.6,85,0,1,--,4,False,True,False,--,0.572,-73.097,1.6,85.0,1.6,85.0,0.195,0.326,0.269,0.311,0.519,--,-124.825,124.825,-16.646,-0.695,0.403,nan,nan,nan,nan,--,0.619,[1.    0.798 1.    0.253 0.743 0.14  1.   ],[ 0.569 -0.465  0.012  0.037],[-100    0],--,1,0,0,0,0,0
1.6,85,0,2,--,0,False,True,False,--,0.508,-70.742,1.6,85.0,1.6,85.0,0.2,0.331,0.264,0.319,0.527,--,-131.823,131.823,-16.505,-0.69,0.256,nan,nan,nan,nan,--,0.329,[0.995 0.778 1.    0.245 0.688 0.129 0.   ],[ 0.521 -0.375  0.015  0.044],[-100    0],--,0,0,0,0,1,0
1.6,85,0,3,--,4,False,True,False,--,0.57,-69.847,1.6,85.0,1.6,85.0,0.192,0.323,0.271,0.307,0.515,--,-125.434,125.434,-16.294,-0.676,0.306,nan,nan,nan,nan,--,0.616,[0.999 0.809 1.    0.239 0.738 0.139 1.   ],[ 0.569 -0.435  0.012  0.036],[-100    0],--,1,0,0,0,0,0
1.6,85,0,4,--,4,False,True,False,--,0.571,-77.001,1.6,85.0,1.6,85.0,0.196,0.327,0.268,0.313,0.521,--,-123.869,123.869,-17.081,-0.717,0.511,nan,nan,nan,nan,--,0.622,[1.    0.794 1.    0.265 0.75  0.141 1.   ],[ 0.569 -0.477  0.012  0.038],[-100    0],--,1,0,0,0,0,0
2.0,15,0,0,--,4,False,True,False,--,0.539,-99.77,2.0,15.0,2.0,15.0,0.194,0.596,6.266,0.1,0.308,--,-136.477,136.477,-19.933,0.914,-0.225,nan,nan,nan,nan,--,0.921,[0.998 0.804 1.    0.999 0.65  0.901 1.   ],[ 0.537 -0.998  0.005  0.27 ],[-100    0],--,1,0,0,0,0,0
2.0,15,0,1,--,4,False,True,False,--,0.533,-99.87,2.0,15.0,2.0,15.0,0.2,0.602,6.204,0.103,0.311,--,-140.094,140.094,-20.032,0.908,-0.262,nan,nan,nan,nan,--,0.93,[1.    0.78  1.    1.    0.619 0.951 1.   ],[ 0.53  -0.998  0.005  0.268],[-100    0],--,1,0,0,0,0,0
2.0,15,0,2,--,4,False,True,False,--,0.538,-99.856,2.0,15.0,2.0,15.0,0.198,0.6,6.217,0.103,0.311,--,-140.061,140.061,-20.028,0.909,-0.263,nan,nan,nan,nan,--,0.93,[0.998 0.785 1.    1.    0.619 0.95  1.   ],[ 0.531 -0.998  0.005  0.269],[-100    0],--,1,0,0,0,0,0
2.0,15,0,3,--,4,False,True,False,--,0.536,-99.902,2.0,15.0,2.0,15.0,0.196,0.598,6.237,0.102,0.31,--,-138.965,138.965,-20.012,0.911,-0.252,nan,nan,nan,nan,--,0.928,[0.999 0.793 1.    1.    0.629 0.935 1.   ],[ 0.534 -0.998  0.005  0.27 ],[-100    0],--,1,0,0,0,0,0
2.0,15,0,4,--,4,False,True,False,--,0.526,-99.969,2.0,15.0,2.0,15.0,0.198,0.6,6.222,0.102,0.311,--,-139.059,139.059,-20.025,0.908,-0.249,nan,nan,nan,nan,--,0.928,[0.998 0.787 1.    1.    0.628 0.936 1.   ],[ 0.532 -0.998  0.005  0.269],[-100    0],--,1,0,0,0,0,0
2.0,25,0,0,--,4,False,True,False,--,0.547,-99.946,2.0,25.0,2.0,25.0,0.203,0.449,4.774,0.172,0.38,--,-131.074,131.074,-19.83,0.801,0.162,nan,nan,nan,nan,--,0.894,[1.    0.767 1.    0.913 0.694 0.827 1.   ],[ 0.54  -0.998  0.005  0.256],[-100    0],--,1,0,0,0,0,0
2.0,25,0,1,--,4,False,True,False,--,0.546,-99.935,2.0,25.0,2.0,25.0,0.202,0.448,4.787,0.171,0.379,--,-131.066,131.066,-19.828,0.801,0.164,nan,nan,nan,nan,--,0.894,[1.    0.772 1.    0.913 0.694 0.826 1.   ],[ 0.542 -0.998  0.005  0.256],[-100    0],--,1,0,0,0,0,0
2.0,25,0,2,--,4,False,True,False,--,0.501,-99.775,2.0,25.0,2.0,25.0,0.208,0.454,4.725,0.176,0.384,--,-134.242,134.242,-19.883,0.798,0.126,nan,nan,nan,nan,--,0.906,[0.997 0.749 1.    0.939 0.668 0.87  1.   ],[ 0.509 -0.996  0.006  0.258],[-100    0],--,1,0,0,0,0,0
2.0,25,0,3,--,4,False,True,False,--,0.543,-99.925,2.0,25.0,2.0,25.0,0.2,0.447,4.802,0.169,0.377,--,-129.895,129.895,-19.793,0.806,0.171,nan,nan,nan,nan,--,0.89,[1.    0.777 1.    0.905 0.703 0.81  1.   ],[ 0.544 -0.998  0.005  0.256],[-100    0],--,1,0,0,0,0,0
2.0,25,0,4,--,4,False,True,False,--,0.514,-99.923,2.0,25.0,2.0,25.0,0.207,0.453,4.73,0.175,0.383,--,-134.424,134.424,-19.911,0.8,0.12,nan,nan,nan,nan,--,0.907,[0.998 0.751 1.    0.941 0.667 0.873 1.   ],[ 0.516 -0.996  0.006  0.257],[-100    0],--,1,0,0,0,0,0
2.0,35,0,0,--,4,False,True,False,--,0.545,-99.817,2.0,35.0,2.0,35.0,0.206,0.387,3.689,0.236,0.444,--,-128.571,128.571,-19.734,0.64,0.48,nan,nan,nan,nan,--,0.862,[0.998 0.757 1.    0.733 0.714 0.792 1.   ],[ 0.55  -0.998  0.004  0.247],[-100    0],--,1,0,0,0,0,0
2.0,35,0,1,--,4,False,True,False,--,0.546,-99.665,2.0,35.0,2.0,35.0,0.206,0.387,3.687,0.236,0.444,--,-128.364,128.364,-19.703,0.64,0.482,nan,nan,nan,nan,--,0.861,[1.    0.756 1.    0.731 0.715 0.789 1.   ],[ 0.55  -0.998  0.004  0.247],[-100    0],--,1,0,0,0,0,0
2.0,35,0,2,--,4,False,True,False,--,0.549,-99.908,2.0,35.0,2.0,35.0,0.209,0.391,3.656,0.24,0.448,--,-130.974,130.974,-19.818,0.635,0.455,nan,nan,nan,nan,--,0.872,[0.998 0.744 1.    0.761 0.695 0.825 1.   ],[ 0.546 -0.998  0.004  0.246],[-100    0],--,1,0,0,0,0,0
2.0,35,0,3,--,4,False,True,False,--,0.53,-99.795,2.0,35.0,2.0,35.0,0.212,0.393,3.635,0.243,0.451,--,-133.057,133.057,-19.852,0.632,0.432,nan,nan,nan,nan,--,0.881,[0.997 0.735 1.    0.786 0.678 0.854 1.   ],[ 0.525 -0.997  0.006  0.248],[-100    0],--,1,0,0,0,0,0
2.0,35,0,4,--,4,False,True,False,--,0.508,-99.877,2.0,35.0,2.0,35.0,0.213,0.395,3.618,0.245,0.453,--,-134.284,134.284,-19.894,0.63,0.418,nan,nan,nan,nan,--,0.886,[0.996 0.729 1.    0.8   0.668 0.871 1.   ],[ 0.503 -0.995  0.007  0.25 ],[-100    0],--,1,0,0,0,0,0
2.0,45,0,0,--,4,False,True,False,--,0.551,-99.877,2.0,45.0,2.0,45.0,0.213,0.361,2.774,0.302,0.51,--,-130.873,130.873,-19.806,0.412,0.721,nan,nan,nan,nan,--,0.844,[1.    0.728 1.    0.559 0.695 0.824 1.   ],[ 0.552 -0.998  0.004  0.239],[-100    0],--,1,0,0,0,0,0
2.0,45,0,1,--,4,False,True,False,--,0.526,-99.764,2.0,45.0,2.0,45.0,0.216,0.363,2.754,0.305,0.514,--,-132.986,132.986,-19.843,0.408,0.699,nan,nan,nan,nan,--,0.852,[0.998 0.719 1.    0.582 0.678 0.853 1.   ],[ 0.527 -0.997  0.006  0.241],[-100    0],--,1,0,0,0,0,0
2.0,45,0,2,--,4,False,True,False,--,0.548,-99.957,2.0,45.0,2.0,45.0,0.214,0.361,2.767,0.303,0.511,--,-131.037,131.037,-19.827,0.408,0.725,nan,nan,nan,nan,--,0.844,[0.999 0.725 1.    0.557 0.694 0.826 1.   ],[ 0.546 -0.998  0.005  0.239],[-100    0],--,1,0,0,0,0,0
2.0,45,0,3,--,4,False,True,False,--,0.555,-99.891,2.0,45.0,2.0,45.0,0.213,0.36,2.779,0.301,0.509,--,-129.793,129.793,-19.781,0.414,0.734,nan,nan,nan,nan,--,0.839,[1.    0.731 1.    0.546 0.704 0.809 1.   ],[ 0.553 -0.998  0.004  0.239],[-100    0],--,1,0,0,0,0,0
2.0,45,0,4,--,4,False,True,False,--,0.554,-99.809,2.0,45.0,2.0,45.0,0.211,0.358,2.792,0.298,0.507,--,-129.648,129.648,-19.761,0.416,0.733,nan,nan,nan,nan,--,0.839,[0.999 0.737 1.    0.547 0.705 0.807 1.   ],[ 0.554 -0.998  0.004  0.239],[-100    0],--,1,0,0,0,0,0
2.0,55,0,0,--,4,False,True,False,--,0.534,-99.914,2.0,55.0,2.0,55.0,0.218,0.345,2.027,0.358,0.566,--,-132.081,132.081,-19.846,0.141,0.936,nan,nan,nan,nan,--,0.833,[1.    0.71  1.    0.463 0.686 0.84  1.   ],[ 0.536 -0.997  0.005  0.238],[-100    0],--,1,0,0,0,0,0
2.0,55,0,1,--,4,False,True,False,--,0.519,-99.78,2.0,55.0,2.0,55.0,0.22,0.347,2.018,0.36,0.568,--,-134.164,134.164,-19.876,0.139,0.911,nan,nan,nan,nan,--,0.84,[0.999 0.705 1.    0.469 0.669 0.869 1.   ],[ 0.519 -0.995  0.006  0.24 ],[-100    0],--,1,0,0,0,0,0
2.0,55,0,2,--,4,False,True,False,--,0.511,-99.683,2.0,55.0,2.0,55.0,0.22,0.347,2.017,0.361,0.569,--,-134.033,134.033,-19.857,0.139,0.913,nan,nan,nan,nan,--,0.839,[0.999 0.704 1.    0.469 0.67  0.867 1.   ],[ 0.516 -0.995  0.007  0.24 ],[-100    0],--,1,0,0,0,0,0
2.0,55,0,3,--,4,False,True,False,--,0.558,-99.931,2.0,55.0,2.0,55.0,0.215,0.342,2.047,0.352,0.56,--,-129.86,129.86,-19.79,0.145,0.959,nan,nan,nan,nan,--,0.827,[0.999 0.722 1.    0.457 0.704 0.81  1.   ],[ 0.557 -0.998  0.004  0.236],[-100    0],--,1,0,0,0,0,0
2.0,55,0,4,--,4,False,True,False,--,0.506,-99.187,2.0,55.0,2.0,55.0,0.221,0.348,2.012,0.362,0.57,--,-134.421,134.421,-19.779,0.145,0.899,nan,nan,nan,nan,--,0.841,[1.    0.701 1.    0.471 0.667 0.873 1.   ],[ 0.507 -0.994  0.007  0.242],[-100    0],--,1,0,0,0,0,0
2.0,65,0,0,--,0,False,True,False,--,0.516,-99.192,2.0,65.0,2.0,65.0,0.216,0.331,1.41,0.392,0.6,--,-128.83,128.83,-19.638,-0.149,1.136,nan,nan,nan,nan,--,0.356,[0.997 0.719 1.    0.41  0.712 0.133 0.   ],[ 0.508 -0.982  0.009  0.189],[-100    0],--,0,0,0,0,1,0
2.0,65,0,1,--,4,False,True,False,--,0.668,-99.514,2.0,65.0,2.0,65.0,0.208,0.323,1.444,0.377,0.585,--,-123.697,123.697,-19.536,-0.144,1.202,nan,nan,nan,nan,--,0.64,[0.999 0.748 1.    0.397 0.751 0.141 1.   ],[ 0.666 -0.99   0.006  0.104],[-100    0],--,1,0,0,0,0,0
2.0,65,0,2,--,4,False,True,False,--,0.648,-99.635,2.0,65.0,2.0,65.0,0.21,0.324,1.437,0.38,0.588,--,-124.997,124.997,-19.599,-0.148,1.188,nan,nan,nan,nan,--,0.638,[1.    0.742 1.    0.4   0.742 0.139 1.   ],[ 0.649 -0.99   0.006  0.114],[-100    0],--,1,0,0,0,0,0
2.0,65,0,3,--,4,False,True,False,--,0.649,-99.513,2.0,65.0,2.0,65.0,0.209,0.324,1.439,0.379,0.588,--,-124.831,124.831,-19.574,-0.144,1.185,nan,nan,nan,nan,--,0.638,[0.999 0.743 1.    0.4   0.743 0.14  1.   ],[ 0.653 -0.99   0.006  0.112],[-100    0],--,1,0,0,0,0,0
2.0,65,0,4,--,4,False,True,False,--,0.613,-99.496,2.0,65.0,2.0,65.0,0.213,0.327,1.424,0.385,0.594,--,-127.033,127.033,-19.638,-0.149,1.161,nan,nan,nan,nan,--,0.636,[0.999 0.731 1.    0.405 0.726 0.136 1.   ],[ 0.613 -0.99   0.007  0.138],[-100    0],--,1,0,0,0,0,0
