t,thrust_input,thrust_actual
5.021,0.0,0.0
5.029,0.0,0.0
5.059,0.0,0.0
5.071,0.0,0.0
5.099,0.0,0.0
5.121,0.0,0.0
5.139,0.0,0.0
5.179,0.0,0.0
5.19,0.0,0.0
5.199,0.0,0.0
5.25,0.0,0.0
5.29,0.0,0.0
5.299,0.0,0.0
5.329,0.0,0.0
5.359,0.0,0.0
5.379,0.0,0.0
5.409,0.0,0.0
5.42,0.0,0.0
5.449,0.0,0.0
5.479,0.0,0.0
5.509,0.0,0.0
5.529,0.0,0.0
5.549,0.0,0.0
5.579,0.0,0.0
5.589,0.0,0.0
5.61,0.0,0.0
5.629,0.0,0.0
5.659,0.0,0.0
5.679,0.0,0.0
5.699,0.0,0.0
5.699,0.0,0.0
5.729,0.0,0.0
5.76,0.0,0.0
5.779,0.0,0.0
5.8,0.0,0.0
5.82,0.0,0.0
5.859,0.0,0.0
5.871,0.0,0.0
5.9,0.0,0.0
5.94,0.0,0.0
5.949,0.0,0.0
5.988,0.0,0.0
6.01,0.0,0.0
6.029,0.0,0.0
6.04,0.0,0.0
6.059,0.0,0.0
6.08,0.0,0.0
6.129,0.0,0.0
6.149,0.0,0.0
6.189,0.0,0.0
6.209,0.0,0.0
6.239,0.0,0.0
6.259,0.0,0.0
6.299,0.0,0.0
6.359,0.0,0.0
6.389,0.0,0.0
6.422,0.0,0.0
6.45,0.0,0.0
6.48,0.0,0.0
6.53,0.0,0.0
6.549,0.0,0.0
6.58,0.0,0.0
6.6,0.0,0.0
6.621,0.0,0.0
6.639,0.0,0.0
6.67,0.0,0.0
6.69,0.0,0.0
6.73,0.0,0.0
6.74,0.0,0.0
6.759,0.0,0.0
6.759,0.0,0.0
6.779,0.0,0.0
6.809,0.0,0.0
6.839,0.0,0.0
6.85,0.0,0.0
6.871,0.0,0.0
6.89,0.0,0.0
6.92,0.0,0.0
6.939,0.0,0.0
6.979,0.0,0.0
6.99,0.0,0.0
7.021,0.0,0.0
7.039,0.0,0.0
7.059,0.0,0.0
7.079,0.0,0.0
7.089,0.0,0.0
7.139,0.0,0.0
7.159,0.0,0.0
7.18,0.0,0.0
7.221,0.0,0.0
7.229,0.0,0.0
7.25,0.0,0.0
7.289,0.0,0.0
7.289,0.0,0.0
7.289,0.0,0.0
7.299,0.0,0.0
7.321,0.0,0.0
7.33,0.0,0.0
7.349,0.0,0.0
7.379,0.0,0.0
7.399,0.0,0.0
7.44,0.0,0.0
7.471,0.0,0.0
7.471,0.0,0.0
7.471,0.0,0.0
7.471,0.0,0.0
7.489,0.0,0.0
7.5,0.0,0.0
7.53,0.0,0.0
7.58,0.0,0.0
7.61,0.0,0.0
7.621,0.0,0.0
7.639,0.0,0.0
7.659,0.0,0.0
7.689,0.0,0.0
7.699,0.0,0.0
7.711,0.0,0.0
7.739,0.0,0.0
7.771,0.0,0.0
7.809,0.0,0.0
7.829,0.0,0.0
7.859,0.0,0.0
7.92,0.0,0.0
7.94,0.0,0.0
7.95,0.0,0.0
7.971,0.0,0.0
7.971,0.0,0.0
7.979,0.0,0.0
7.999,0.0,0.0
8.049,0.0,0.0
8.059,0.0,0.0
8.1,0.0,0.0
8.109,0.0,0.0
8.129,0.0,0.0
8.171,0.0,0.0
8.199,0.0,0.0
8.22,0.0,0.0
8.231,0.0,0.0
8.271,0.0,0.0
8.291,0.0,0.0
8.329,0.0,0.0
8.339,0.0,0.0
8.359,0.0,0.0
8.389,0.0,0.0
8.399,0.0,0.0
8.409,0.0,0.0
8.429,0.0,0.0
8.45,0.0,0.0
8.48,0.0,0.0
8.51,0.0,0.0
8.529,0.0,0.0
8.539,0.0,0.0
8.549,0.0,0.0
8.559,0.0,0.0
8.571,0.0,0.0
8.619,0.0,0.0
8.639,0.0,0.0
8.68,0.0,0.0
8.73,0.0,0.0
8.771,0.0,0.0
8.779,0.0,0.0
8.779,0.0,0.0
8.809,0.0,0.0
8.83,0.0,0.0
8.859,0.0,0.0
8.871,0.0,0.0
8.9,0.0,0.0
8.929,0.0,0.0
8.939,0.0,0.0
8.959,0.0,0.0
8.98,0.0,0.0
9.0,0.0,0.0
9.0,0.0,0.0
9.029,0.0,0.0
9.059,0.0,0.0
9.09,0.0,0.0
9.099,0.0,0.0
9.12,0.0,0.0
9.129,0.0,0.0
9.16,0.0,0.0
9.171,0.0,0.0
9.189,0.0,0.0
9.209,0.0,0.0
9.23,0.0,0.0
9.27,0.0,0.0
9.289,0.0,0.0
9.34,0.0,0.0
9.359,0.0,0.0
9.359,0.0,0.0
9.39,0.0,0.0
9.4,0.0,0.0
9.409,0.0,0.0
9.429,0.0,0.0
9.459,0.0,0.0
9.479,0.0,0.0
9.521,0.0,0.0
9.521,0.0,0.0
9.55,0.0,0.0
9.559,0.0,0.0
9.579,0.0,0.0
9.599,0.0,0.0
9.629,0.0,0.0
9.66,0.0,0.0
9.671,0.0,0.0
9.7,0.0,0.0
9.72,0.0,0.0
9.771,0.0,0.0
9.8,0.0,0.0
9.839,0.0,0.0
9.859,0.0,0.0
9.88,0.0,0.0
9.889,0.0,0.0
9.909,0.0,0.0
9.921,0.0,0.0
9.959,0.0,0.0
9.959,0.0,0.0
9.959,0.0,0.0
9.971,0.0,0.0
9.971,8.14,0.626
9.971,8.14,0.775
9.971,8.14,0.92
9.971,8.14,1.063
9.999,8.14,1.737
10.01,8.14,4.896
10.039,8.14,5.831
10.059,8.14,6.74
10.089,8.14,7.416
10.099,8.14,7.431
10.129,8.14,7.593
10.171,8.14,7.958
10.209,8.14,7.972
10.24,8.14,8.093
10.25,8.14,8.112
10.271,8.14,8.114
10.299,8.14,8.126
10.321,8.14,8.131
10.36,8.14,8.133
10.39,8.14,8.138
10.4,8.14,8.138
10.409,8.14,8.138
10.449,8.14,8.139
10.489,8.14,8.14
10.499,8.14,8.14
10.529,8.14,8.14
10.539,8.14,8.14
10.579,8.14,8.14
10.61,8.14,8.14
10.61,8.14,8.14
10.62,8.14,8.14
10.65,8.14,8.14
10.7,8.14,8.14
10.722,8.14,8.14
10.74,8.14,8.14
10.74,8.14,8.14
10.779,8.14,8.14
10.829,8.14,8.14
10.871,8.14,8.14
10.899,8.14,8.14
10.92,8.14,8.14
10.959,8.14,8.14
10.971,8.14,8.14
11.009,8.14,8.14
11.03,8.14,8.14
11.04,8.14,8.14
11.059,8.14,8.14
11.079,8.14,8.14
11.109,8.14,8.14
11.149,8.14,8.14
11.159,8.14,8.14
11.199,8.14,8.14
11.22,8.14,8.14
11.24,8.14,8.14
11.259,8.14,8.14
11.31,8.14,8.14
11.349,8.14,8.14
11.371,8.14,8.14
11.409,8.14,8.14
11.44,8.14,8.14
11.45,8.14,8.14
11.499,8.14,8.14
11.529,8.14,8.14
11.559,8.14,8.14
11.599,8.14,8.14
11.609,8.14,8.14
11.659,8.14,8.14
11.671,8.14,8.14
11.699,8.14,8.14
11.709,8.14,8.14
11.739,8.14,8.14
11.759,8.14,8.14
11.771,8.14,8.14
11.81,8.14,8.14
11.839,8.14,8.14
11.871,8.14,8.14
11.879,8.14,8.14
11.909,8.14,8.14
11.949,8.14,8.14
11.959,8.14,8.14
11.959,8.14,8.14
11.959,8.14,8.14
11.979,8.14,8.14
12.01,8.14,8.14
12.021,8.14,8.14
12.071,8.14,8.14
12.09,8.14,8.14
12.11,8.14,8.14
12.11,8.14,8.14
12.129,8.14,8.14
12.159,8.14,8.14
12.199,8.14,8.14
12.199,8.14,8.14
12.22,8.14,8.14
12.229,8.14,8.14
12.26,8.14,8.14
12.27,8.14,8.14
12.321,8.14,8.14
12.33,8.14,8.14
12.371,8.14,8.14
12.41,8.14,8.14
12.44,8.14,8.14
12.459,8.14,8.14
12.48,8.14,8.14
12.509,8.14,8.14
12.521,8.14,8.14
12.549,8.14,8.14
12.571,8.14,8.14
12.589,8.14,8.14
12.609,8.14,8.14
12.621,8.14,8.14
12.649,8.14,8.14
12.671,8.14,8.14
12.689,8.14,8.14
12.709,8.14,8.14
12.721,8.14,8.14
12.739,8.14,8.14
12.749,8.14,8.14
12.77,8.14,8.14
12.78,8.14,8.14
12.821,8.14,8.14
12.829,8.14,8.14
12.871,8.14,8.14
12.871,8.14,8.14
12.92,8.14,8.14
12.979,8.14,8.14
12.989,8.14,8.14
13.009,8.14,8.14
13.029,8.14,8.14
13.07,8.14,8.14
13.129,8.14,8.14
13.14,8.14,8.14
13.16,8.14,8.14
13.179,8.14,8.14
13.221,8.14,8.14
13.239,8.14,8.14
13.25,8.14,8.14
13.279,8.14,8.14
13.279,8.14,8.14
13.32,8.14,8.14
13.329,8.14,8.14
13.371,8.14,8.14
13.38,8.14,8.14
13.389,8.14,8.14
13.399,8.14,8.14
13.408,8.14,8.14
13.429,8.14,8.14
13.459,8.14,8.14
13.471,8.14,8.14
13.509,8.14,8.14
13.53,8.14,8.14
13.56,8.14,8.14
13.571,8.14,8.14
13.61,8.14,8.14
13.64,8.14,8.14
13.671,8.14,8.14
13.679,8.14,8.14
13.699,8.14,8.14
13.72,8.14,8.14
13.73,8.14,8.14
13.739,8.14,8.14
13.772,8.14,8.14
13.8,8.14,8.14
13.829,8.14,8.14
13.849,8.14,8.14
13.879,8.14,8.14
13.9,8.14,8.14
13.9,8.14,8.14
13.921,8.14,8.14
13.989,8.14,8.14
14.01,8.14,8.14
14.059,8.14,8.14
14.079,8.14,8.14
14.109,8.14,8.14
14.159,8.14,8.14
14.18,8.14,8.14
14.208,8.14,8.14
14.208,8.14,8.14
14.239,8.14,8.14
14.239,8.14,8.14
14.259,8.14,8.14
14.29,8.14,8.14
14.309,8.14,8.14
14.33,8.14,8.14
14.36,8.14,8.14
14.379,8.14,8.14
14.389,8.14,8.14
14.4,8.14,8.14
14.409,8.14,8.14
14.441,8.14,8.14
14.46,8.14,8.14
14.48,8.14,8.14
14.509,8.14,8.14
14.54,8.14,8.14
14.549,8.14,8.14
14.579,8.14,8.14
14.589,8.14,8.14
14.66,8.14,8.14
14.7,8.14,8.14
14.721,8.14,8.14
14.759,8.14,8.14
14.771,8.14,8.14
14.78,8.14,8.14
14.82,8.14,8.14
14.86,8.14,8.14
14.871,8.14,8.14
14.88,8.14,8.14
14.899,8.14,8.14
14.93,8.14,8.14
14.93,8.14,8.14
14.96,8.14,8.14
14.96,8.14,8.14
14.96,8.14,8.14
14.96,8.14,8.14
14.96,14.3,8.262
14.96,14.3,8.382
14.97,14.3,8.499
14.97,14.3,8.726
14.97,14.3,8.837
15.01,14.3,9.051
15.03,14.3,12.166
15.039,14.3,12.621
15.06,14.3,12.811
15.109,14.3,13.833
15.139,14.3,14.054
15.172,14.3,14.17
15.209,14.3,14.238
15.209,14.3,14.26
15.249,14.3,14.281
15.299,14.3,14.286
15.32,14.3,14.294
15.339,14.3,14.295
15.349,14.3,14.296
15.371,14.3,14.297
15.39,14.3,14.299
15.429,14.3,14.299
15.44,14.3,14.299
15.46,14.3,14.3
15.479,14.3,14.3
15.509,14.3,14.3
15.521,14.3,14.3
15.539,14.3,14.3
15.571,14.3,14.3
15.58,14.3,14.3
15.609,14.3,14.3
15.64,14.3,14.3
15.649,14.3,14.3
15.689,14.3,14.3
15.709,14.3,14.3
15.76,14.3,14.3
15.779,14.3,14.3
15.82,14.3,14.3
15.849,14.3,14.3
15.86,14.3,14.3
15.889,14.3,14.3
15.899,14.3,14.3
15.909,14.3,14.3
15.939,14.3,14.3
15.979,14.3,14.3
15.999,14.3,14.3
16.009,14.3,14.3
16.04,14.3,14.3
16.04,14.3,14.3
16.079,14.3,14.3
16.099,14.3,14.3
16.121,14.3,14.3
16.149,14.3,14.3
16.17,14.3,14.3
16.19,14.3,14.3
16.21,14.3,14.3
16.249,14.3,14.3
16.279,14.3,14.3
16.279,14.3,14.3
16.288,14.3,14.3
16.288,14.3,14.3
16.309,14.3,14.3
16.329,14.3,14.3
16.349,14.3,14.3
16.371,14.3,14.3
16.399,14.3,14.3
16.399,14.3,14.3
16.421,14.3,14.3
16.449,14.3,14.3
16.479,14.3,14.3
16.509,14.3,14.3
16.521,14.3,14.3
16.559,14.3,14.3
16.609,14.3,14.3
16.64,14.3,14.3
16.65,14.3,14.3
16.69,14.3,14.3
16.699,14.3,14.3
16.739,14.3,14.3
16.76,14.3,14.3
16.799,14.3,14.3
16.829,14.3,14.3
16.839,14.3,14.3
16.859,14.3,14.3
16.899,14.3,14.3
16.909,14.3,14.3
16.959,14.3,14.3
17.0,14.3,14.3
17.01,14.3,14.3
17.04,14.3,14.3
17.059,14.3,14.3
17.1,14.3,14.3
17.121,14.3,14.3
17.179,14.3,14.3
17.221,14.3,14.3
17.228,14.3,14.3
17.239,14.3,14.3
17.249,14.3,14.3
17.279,14.3,14.3
17.299,14.3,14.3
17.321,14.3,14.3
17.329,14.3,14.3
17.371,14.3,14.3
17.371,14.3,14.3
17.38,14.3,14.3
17.389,14.3,14.3
17.4,14.3,14.3
17.43,14.3,14.3
17.449,14.3,14.3
17.449,14.3,14.3
17.469,14.3,14.3
17.509,14.3,14.3
17.54,14.3,14.3
17.549,14.3,14.3
17.56,14.3,14.3
17.599,14.3,14.3
17.621,14.3,14.3
17.659,14.3,14.3
17.7,14.3,14.3
17.721,14.3,14.3
17.771,14.3,14.3
17.779,14.3,14.3
17.829,14.3,14.3
17.871,14.3,14.3
17.889,14.3,14.3
17.91,14.3,14.3
17.93,14.3,14.3
17.95,14.3,14.3
17.959,14.3,14.3
17.989,14.3,14.3
18.029,14.3,14.3
18.029,14.3,14.3
18.059,14.3,14.3
18.071,14.3,14.3
18.11,14.3,14.3
18.139,14.3,14.3
18.15,14.3,14.3
18.199,14.3,14.3
18.249,14.3,14.3
18.289,14.3,14.3
18.309,14.3,14.3
18.309,14.3,14.3
18.309,14.3,14.3
18.349,14.3,14.3
18.371,14.3,14.3
18.389,14.3,14.3
18.409,14.3,14.3
18.42,14.3,14.3
18.439,14.3,14.3
18.45,14.3,14.3
18.489,14.3,14.3
18.53,14.3,14.3
18.559,14.3,14.3
18.571,14.3,14.3
18.599,14.3,14.3
18.63,14.3,14.3
18.63,14.3,14.3
18.639,14.3,14.3
18.659,14.3,14.3
18.671,14.3,14.3
18.699,14.3,14.3
18.729,14.3,14.3
18.75,14.3,14.3
18.778,14.3,14.3
18.8,14.3,14.3
18.809,14.3,14.3
18.85,14.3,14.3
18.871,14.3,14.3
18.899,14.3,14.3
18.92,14.3,14.3
18.959,14.3,14.3
18.989,14.3,14.3
19.03,14.3,14.3
19.049,14.3,14.3
19.079,14.3,14.3
19.099,14.3,14.3
19.14,14.3,14.3
19.159,14.3,14.3
19.18,14.3,14.3
19.221,14.3,14.3
19.239,14.3,14.3
19.26,14.3,14.3
19.321,14.3,14.3
19.339,14.3,14.3
19.371,14.3,14.3
19.389,14.3,14.3
19.409,14.3,14.3
19.429,14.3,14.3
19.46,14.3,14.3
19.471,14.3,14.3
19.489,14.3,14.3
19.54,14.3,14.3
19.55,14.3,14.3
19.579,14.3,14.3
19.589,14.3,14.3
19.629,14.3,14.3
19.649,14.3,14.3
19.659,14.3,14.3
19.689,14.3,14.3
19.71,14.3,14.3
19.73,14.3,14.3
19.749,14.3,14.3
19.789,14.3,14.3
19.829,14.3,14.3
19.9,14.3,14.3
19.93,14.3,14.3
19.95,14.3,14.3
19.95,14.3,14.3
19.95,14.3,14.3
19.95,14.3,14.3
19.95,5.3,14.24
19.95,5.3,14.181
19.959,5.3,14.063
19.971,5.3,14.005
19.989,5.3,12.718
20.0,5.3,12.571
20.021,5.3,11.967
20.04,5.3,11.455
20.049,5.3,10.272
20.079,5.3,9.317
20.109,5.3,9.29
20.149,5.3,8.336
20.171,5.3,7.657
20.171,5.3,7.61
20.18,5.3,7.39
20.222,5.3,6.869
20.25,5.3,6.838
20.258,5.3,6.494
20.28,5.3,6.317
20.309,5.3,6.196
20.34,5.3,6.01
20.38,5.3,5.87
20.39,5.3,5.847
20.439,5.3,5.714
20.459,5.3,5.625
20.471,5.3,5.613
20.49,5.3,5.592
20.509,5.3,5.539
20.521,5.3,5.525
20.559,5.3,5.48
20.589,5.3,5.441
20.622,5.3,5.438
20.679,5.3,5.379
20.71,5.3,5.375
20.729,5.3,5.355
20.75,5.3,5.346
20.75,5.3,5.342
20.76,5.3,5.342
20.779,5.3,5.341
20.789,5.3,5.336
20.8,5.3,5.331
20.829,5.3,5.329
20.839,5.3,5.324
20.849,5.3,5.323
20.879,5.3,5.322
20.899,5.3,5.318
20.921,5.3,5.315
20.949,5.3,5.315
20.971,5.3,5.312
21.03,5.3,5.309
21.05,5.3,5.306
21.079,5.3,5.305
21.089,5.3,5.305
21.139,5.3,5.304
21.159,5.3,5.303
21.171,5.3,5.303
21.18,5.3,5.303
21.199,5.3,5.302
21.209,5.3,5.302
21.229,5.3,5.302
21.26,5.3,5.302
21.28,5.3,5.301
21.299,5.3,5.301
21.309,5.3,5.301
21.321,5.3,5.301
21.34,5.3,5.301
21.359,5.3,5.301
21.371,5.3,5.301
21.389,5.3,5.301
21.409,5.3,5.301
21.45,5.3,5.3
21.489,5.3,5.3
21.499,5.3,5.3
21.529,5.3,5.3
21.539,5.3,5.3
21.559,5.3,5.3
21.599,5.3,5.3
21.621,5.3,5.3
21.64,5.3,5.3
21.659,5.3,5.3
21.671,5.3,5.3
21.689,5.3,5.3
21.689,5.3,5.3
21.71,5.3,5.3
21.72,5.3,5.3
21.73,5.3,5.3
21.771,5.3,5.3
21.79,5.3,5.3
21.799,5.3,5.3
21.83,5.3,5.3
21.849,5.3,5.3
21.872,5.3,5.3
21.909,5.3,5.3
21.939,5.3,5.3
21.949,5.3,5.3
21.979,5.3,5.3
22.021,5.3,5.3
22.071,5.3,5.3
22.099,5.3,5.3
22.109,5.3,5.3
22.15,5.3,5.3
22.189,5.3,5.3
22.199,5.3,5.3
22.229,5.3,5.3
22.25,5.3,5.3
22.259,5.3,5.3
22.289,5.3,5.3
22.321,5.3,5.3
22.371,5.3,5.3
22.389,5.3,5.3
22.421,5.3,5.3
22.439,5.3,5.3
22.46,5.3,5.3
22.48,5.3,5.3
22.51,5.3,5.3
22.521,5.3,5.3
22.56,5.3,5.3
22.579,5.3,5.3
22.599,5.3,5.3
22.609,5.3,5.3
22.63,5.3,5.3
22.65,5.3,5.3
22.67,5.3,5.3
22.7,5.3,5.3
22.72,5.3,5.3
22.76,5.3,5.3
22.799,5.3,5.3
22.799,5.3,5.3
22.83,5.3,5.3
22.88,5.3,5.3
22.899,5.3,5.3
22.91,5.3,5.3
22.979,5.3,5.3
23.021,5.3,5.3
23.039,5.3,5.3
23.071,5.3,5.3
23.09,5.3,5.3
23.129,5.3,5.3
23.139,5.3,5.3
23.159,5.3,5.3
23.21,5.3,5.3
23.25,5.3,5.3
23.259,5.3,5.3
23.279,5.3,5.3
23.3,5.3,5.3
23.359,5.3,5.3
23.371,5.3,5.3
23.399,5.3,5.3
23.429,5.3,5.3
23.429,5.3,5.3
23.45,5.3,5.3
23.479,5.3,5.3
23.499,5.3,5.3
23.53,5.3,5.3
23.539,5.3,5.3
23.56,5.3,5.3
23.571,5.3,5.3
23.609,5.3,5.3
23.63,5.3,5.3
23.649,5.3,5.3
23.659,5.3,5.3
23.689,5.3,5.3
23.749,5.3,5.3
23.78,5.3,5.3
23.809,5.3,5.3
23.849,5.3,5.3
23.87,5.3,5.3
23.889,5.3,5.3
23.92,5.3,5.3
23.949,5.3,5.3
23.971,5.3,5.3
23.989,5.3,5.3
24.039,5.3,5.3
24.07,5.3,5.3
24.109,5.3,5.3
24.12,5.3,5.3
24.159,5.3,5.3
24.179,5.3,5.3
24.209,5.3,5.3
24.24,5.3,5.3
24.249,5.3,5.3
24.26,5.3,5.3
24.29,5.3,5.3
24.31,5.3,5.3
24.32,5.3,5.3
24.33,5.3,5.3
24.371,5.3,5.3
24.379,5.3,5.3
24.4,5.3,5.3
24.43,5.3,5.3
24.471,5.3,5.3
24.479,5.3,5.3
24.521,5.3,5.3
24.539,5.3,5.3
24.58,5.3,5.3
24.599,5.3,5.3
24.621,5.3,5.3
24.639,5.3,5.3
24.659,5.3,5.3
24.671,5.3,5.3
24.69,5.3,5.3
24.709,5.3,5.3
24.739,5.3,5.3
24.747,5.3,5.3
24.78,5.3,5.3
24.79,5.3,5.3
24.829,5.3,5.3
24.85,5.3,5.3
24.87,5.3,5.3
24.91,5.3,5.3
24.929,5.3,5.3
24.96,5.3,5.3
24.96,5.3,5.3
24.96,5.3,5.3
24.96,5.3,5.3
24.96,12.0,5.433
24.96,12.0,5.563
24.97,12.0,5.815
24.97,12.0,5.938
24.97,12.0,6.058
24.989,12.0,6.175
25.01,12.0,8.096
25.01,12.0,8.249
25.049,12.0,9.276
25.06,12.0,11.056
25.09,12.0,11.163
25.109,12.0,11.601
25.129,12.0,11.609
25.149,12.0,11.809
25.16,12.0,11.824
25.171,12.0,11.856
25.199,12.0,11.884
25.22,12.0,11.95
25.25,12.0,11.969
25.259,12.0,11.973
25.299,12.0,11.987
25.33,12.0,11.993
25.34,12.0,11.994
25.349,12.0,11.996
25.37,12.0,11.997
25.4,12.0,11.998
25.439,12.0,11.999
25.45,12.0,12.0
25.471,12.0,12.0
25.499,12.0,12.0
25.521,12.0,12.0
25.529,12.0,12.0
25.55,12.0,12.0
25.56,12.0,12.0
25.589,12.0,12.0
25.599,12.0,12.0
25.609,12.0,12.0
25.639,12.0,12.0
25.66,12.0,12.0
25.679,12.0,12.0
25.679,12.0,12.0
25.699,12.0,12.0
25.74,12.0,12.0
25.75,12.0,12.0
25.771,12.0,12.0
25.81,12.0,12.0
25.839,12.0,12.0
25.859,12.0,12.0
25.89,12.0,12.0
25.899,12.0,12.0
25.922,12.0,12.0
25.94,12.0,12.0
25.96,12.0,12.0
25.96,12.0,12.0
25.99,12.0,12.0
25.999,12.0,12.0
26.01,12.0,12.0
26.03,12.0,12.0
26.059,12.0,12.0
26.079,12.0,12.0
26.11,12.0,12.0
26.14,12.0,12.0
26.16,12.0,12.0
26.18,12.0,12.0
26.189,12.0,12.0
26.2,12.0,12.0
26.229,12.0,12.0
26.26,12.0,12.0
26.3,12.0,12.0
26.32,12.0,12.0
26.339,12.0,12.0
26.349,12.0,12.0
26.389,12.0,12.0
26.4,12.0,12.0
26.43,12.0,12.0
26.449,12.0,12.0
26.46,12.0,12.0
26.471,12.0,12.0
26.479,12.0,12.0
26.509,12.0,12.0
26.53,12.0,12.0
26.577,12.0,12.0
26.6,12.0,12.0
26.621,12.0,12.0
26.64,12.0,12.0
26.671,12.0,12.0
26.689,12.0,12.0
26.722,12.0,12.0
26.739,12.0,12.0
26.749,12.0,12.0
26.771,12.0,12.0
26.789,12.0,12.0
26.83,12.0,12.0
26.859,12.0,12.0
26.88,12.0,12.0
26.91,12.0,12.0
26.93,12.0,12.0
26.93,12.0,12.0
26.96,12.0,12.0
26.99,12.0,12.0
27.022,12.0,12.0
27.029,12.0,12.0
27.049,12.0,12.0
27.071,12.0,12.0
27.088,12.0,12.0
27.121,12.0,12.0
27.149,12.0,12.0
27.179,12.0,12.0
27.21,12.0,12.0
27.259,12.0,12.0
27.271,12.0,12.0
27.289,12.0,12.0
27.3,12.0,12.0
27.309,12.0,12.0
27.349,12.0,12.0
27.389,12.0,12.0
27.389,12.0,12.0
27.421,12.0,12.0
27.439,12.0,12.0
27.479,12.0,12.0
27.509,12.0,12.0
27.529,12.0,12.0
27.559,12.0,12.0
